INFO 2022/02/20 11:48:24 Order Created: 
INFO 2022/02/20 11:48:26 Order Created: 
INFO 2022/02/20 11:49:54 Order Created: 
INFO 2022/02/20 11:49:56 Order Created: 
INFO 2022/02/20 11:52:54 Order Created: 1706448943
INFO 2022/02/20 11:52:56 Order Created: 1706448950
INFO 2022/02/20 12:07:14 Order Created: 1706453093
INFO 2022/02/20 12:07:16 Order Created: 1706453109
INFO 2022/02/20 12:13:33 Order Canceled: 1706453109
INFO 2022/02/20 12:13:34 Order Canceled: 1706453093
INFO 2022/02/20 12:13:36 Order Created: 1706454961
INFO 2022/02/20 12:13:37 Order Created: 1706454967
INFO 2022/02/20 12:13:42 Order Canceled: 1706454967
INFO 2022/02/20 12:13:43 Order Canceled: 1706454961
INFO 2022/02/20 12:13:44 Order Created: 1706454996
INFO 2022/02/20 12:13:46 Order Created: 1706454997
INFO 2022/02/20 12:13:52 Order Canceled: 1706454997
INFO 2022/02/20 12:13:53 Order Canceled: 1706454996
INFO 2022/02/20 12:13:55 Order Created: 1706455056
INFO 2022/02/20 12:13:56 Order Created: 1706455063
INFO 2022/02/20 12:14:01 Order Canceled: 1706455063
INFO 2022/02/20 12:14:02 Order Canceled: 1706455056
INFO 2022/02/20 12:14:04 Order Created: 1706455103
INFO 2022/02/20 12:14:06 Order Created: 1706455115
INFO 2022/02/20 12:14:12 Order Canceled: 1706455115
INFO 2022/02/20 12:14:13 Order Canceled: 1706455103
INFO 2022/02/20 12:14:15 Order Created: 1706455169
INFO 2022/02/20 12:14:16 Order Created: 1706455175
INFO 2022/02/20 12:14:21 Order Canceled: 1706455175
INFO 2022/02/20 12:14:22 Order Canceled: 1706455169
INFO 2022/02/20 12:14:24 Order Created: 1706455198
INFO 2022/02/20 12:14:26 Order Created: 1706455207
INFO 2022/02/20 12:14:32 Order Canceled: 1706455207
INFO 2022/02/20 12:14:33 Order Canceled: 1706455198
INFO 2022/02/20 12:14:35 Order Created: 1706455249
INFO 2022/02/20 12:14:37 Order Created: 1706455259
INFO 2022/02/20 12:14:41 Order Canceled: 1706455259
INFO 2022/02/20 12:14:42 Order Canceled: 1706455249
INFO 2022/02/20 12:14:44 Order Created: 1706455290
INFO 2022/02/20 12:14:45 Order Created: 1706455297
INFO 2022/02/20 12:14:51 Order Canceled: 1706455297
INFO 2022/02/20 12:14:52 Order Canceled: 1706455290
INFO 2022/02/20 12:14:54 Order Created: 1706455341
INFO 2022/02/20 12:14:56 Order Created: 1706455354
INFO 2022/02/20 12:15:02 Order Canceled: 1706455354
INFO 2022/02/20 12:15:03 Order Canceled: 1706455341
INFO 2022/02/20 12:15:05 Order Created: 1706455407
INFO 2022/02/20 12:15:07 Order Created: 1706455420
INFO 2022/02/20 12:18:02 Order Canceled: 1706455420
INFO 2022/02/20 12:18:03 Order Canceled: 1706455407
INFO 2022/02/20 12:18:07 Order Created: 1706456316
INFO 2022/02/20 12:18:08 Order Created: 1706456323
INFO 2022/02/20 12:18:12 Order Canceled: 1706456323
INFO 2022/02/20 12:18:14 Order Canceled: 1706456316
INFO 2022/02/20 12:18:17 Order Created: 1706456360
INFO 2022/02/20 12:18:18 Order Created: 1706456364
INFO 2022/02/20 12:18:21 Order Canceled: 1706456364
INFO 2022/02/20 12:18:22 Order Canceled: 1706456360
INFO 2022/02/20 12:18:24 Order Created: 1706456393
INFO 2022/02/20 12:18:25 Order Created: 1706456399
INFO 2022/02/20 12:18:31 Order Canceled: 1706456399
INFO 2022/02/20 12:18:32 Order Canceled: 1706456393
INFO 2022/02/20 12:18:35 Order Created: 1706456450
INFO 2022/02/20 12:18:36 Order Created: 1706456458
INFO 2022/02/20 12:18:41 Order Canceled: 1706456458
INFO 2022/02/20 12:18:42 Order Canceled: 1706456450
INFO 2022/02/20 12:18:44 Order Created: 1706456493
INFO 2022/02/20 12:18:45 Order Created: 1706456497
INFO 2022/02/20 12:18:52 Order Canceled: 1706456497
INFO 2022/02/20 12:18:53 Order Canceled: 1706456493
INFO 2022/02/20 12:18:55 Order Created: 1706456531
INFO 2022/02/20 12:18:56 Order Created: 1706456539
INFO 2022/02/20 12:19:01 Order Canceled: 1706456539
INFO 2022/02/20 12:19:02 Order Canceled: 1706456531
INFO 2022/02/20 12:19:05 Order Created: 1706456596
INFO 2022/02/20 12:19:06 Order Created: 1706456606
INFO 2022/02/20 12:19:11 Order Canceled: 1706456606
INFO 2022/02/20 12:19:12 Order Canceled: 1706456596
INFO 2022/02/20 12:19:14 Order Created: 1706456644
INFO 2022/02/20 12:19:15 Order Created: 1706456651
INFO 2022/02/20 12:19:21 Order Canceled: 1706456651
INFO 2022/02/20 12:19:22 Order Canceled: 1706456644
INFO 2022/02/20 12:19:24 Order Created: 1706456696
INFO 2022/02/20 12:19:25 Order Created: 1706456699
INFO 2022/02/20 12:19:32 Order Canceled: 1706456699
INFO 2022/02/20 12:19:33 Order Canceled: 1706456696
INFO 2022/02/20 12:19:34 Order Created: 1706456745
INFO 2022/02/20 12:19:36 Order Created: 1706456752
INFO 2022/02/20 12:19:41 Order Canceled: 1706456752
INFO 2022/02/20 12:19:42 Order Canceled: 1706456745
INFO 2022/02/20 12:19:44 Order Created: 1706456787
INFO 2022/02/20 12:19:46 Order Created: 1706456794
INFO 2022/02/20 12:19:52 Order Canceled: 1706456794
INFO 2022/02/20 12:19:52 Order Canceled: 1706456787
INFO 2022/02/20 12:19:54 Order Created: 1706456831
INFO 2022/02/20 12:19:55 Order Created: 1706456838
INFO 2022/02/20 12:20:02 Order Canceled: 1706456838
INFO 2022/02/20 12:20:03 Order Canceled: 1706456831
INFO 2022/02/20 12:20:06 Order Created: 1706456891
INFO 2022/02/20 12:20:07 Order Created: 1706456899
INFO 2022/02/20 12:20:12 Order Canceled: 1706456899
INFO 2022/02/20 12:20:12 Order Canceled: 1706456891
INFO 2022/02/20 12:20:15 Order Created: 1706456953
INFO 2022/02/20 12:20:16 Order Created: 1706456957
INFO 2022/02/20 12:20:21 Order Canceled: 1706456957
INFO 2022/02/20 12:20:22 Order Canceled: 1706456953
INFO 2022/02/20 12:20:24 Order Created: 1706456984
INFO 2022/02/20 12:20:25 Order Created: 1706456995
INFO 2022/02/20 12:20:32 Order Canceled: 1706456995
INFO 2022/02/20 12:20:32 Order Canceled: 1706456984
INFO 2022/02/20 12:20:34 Order Created: 1706457072
INFO 2022/02/20 12:20:35 Order Created: 1706457080
INFO 2022/02/20 12:20:41 Order Canceled: 1706457080
INFO 2022/02/20 12:20:42 Order Canceled: 1706457072
INFO 2022/02/20 12:20:45 Order Created: 1706457107
INFO 2022/02/20 12:20:47 Order Created: 1706457112
INFO 2022/02/20 12:20:52 Order Canceled: 1706457112
INFO 2022/02/20 12:20:52 Order Canceled: 1706457107
INFO 2022/02/20 12:20:54 Order Created: 1706457159
INFO 2022/02/20 12:20:56 Order Created: 1706457168
INFO 2022/02/20 12:21:01 Order Canceled: 1706457168
INFO 2022/02/20 12:21:02 Order Canceled: 1706457159
INFO 2022/02/20 12:21:04 Order Created: 1706457214
INFO 2022/02/20 12:21:06 Order Created: 1706457220
INFO 2022/02/20 12:21:11 Order Canceled: 1706457220
INFO 2022/02/20 12:21:12 Order Canceled: 1706457214
